"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,215,"ESP","Spain",1,"Andalucía","ES.AN",NA,"01","Comunidad Autónoma","Autonomous Community","","Andalousie|Andaluc¡a|Andalusien|Andaluzia"
2,215,"ESP","Spain",2,"Aragón","ES.AR",NA,"15","Comunidad Autónoma","Autonomous Community","","Aragão|Aragó|Aragón|Aragona|Aragonien"
3,215,"ESP","Spain",3,"Cantabria","ES.CB",NA,"06","Comunidad Autónoma","Autonomous Community","","Cantàbria|Cantábria|Cantabrie|Kantabrien"
4,215,"ESP","Spain",4,"Castilla-La Mancha","ES.CM",NA,"08","Comunidad Autónoma","Autonomous Community","","Castela-La Mancha|Castela-Mancha|Castella-la Manxa|Castilha-La Mancha"
5,215,"ESP","Spain",5,"Castilla y León","ES.CL",NA,"07","Comunidad Autónoma","Autonomous Community","","Castile and Leon|Castela e Leão|Castella i Lleó|Castile-Leon|Castilha-Leão|Castilla y León|Castille et Léon|Kastilien-León"
6,215,"ESP","Spain",6,"Cataluña","ES.CT",NA,"09","Comunidad Autónoma","Autonomous Community","","Catalogna|Catalogne|Catalonia|Catalunha|Catalunya|Katalonien"
7,215,"ESP","Spain",7,"Ceuta y Melilla","ES.ML",NA,"19","Ciudades Autónomas","Autonomous City","",""
8,215,"ESP","Spain",8,"Comunidad de Madrid","ES.MD",NA,"","Comunidad Autónoma","Autonomous Community","","Madrid|Communauté de Madrid| Community of Madrid|Comunidad de Madrid |Comunidade de Madrid|Comunitat de Madrid"
9,215,"ESP","Spain",9,"Comunidad Foral de Navarra","ES.NA",NA,"15","Comunidad Autónoma","Autonomous Community","","Communauté forale de Navarre|Comunidade Foral de Navarra|Comunitat Foral|Navarra"
10,215,"ESP","Spain",10,"Comunidad Valenciana","ES.VC",NA,"10","Comunidad Autónoma","Autonomous Community","","Valencia|Communauté de Valence|Comunidade Valenciana|Comunidad Valenciana|Comunitat Valenciana"
11,215,"ESP","Spain",11,"Extremadura","ES.EX",NA,"11","Comunidad Autónoma","Autonomous Community","","Estremadura|Estrémadure"
12,215,"ESP","Spain",12,"Galicia","ES.GA",NA,"12","Comunidad Autónoma","Autonomous Community","","Galice|Gal¡cia|Galicien|Galiza|Galizia"
13,215,"ESP","Spain",13,"Islas Baleares","ES.PM",NA,"04","Comunidad Autónoma","Autonomous Community","","Balearic Islands|Balearen|Balearene|Baleares|Islas Baleares|Baleari|Îles Baléares|Ilhas Baleares|Illes Balears"
14,215,"ESP","Spain",14,"Islas Canarias","ES.CN",NA,"05","Comunidad Autónoma","Autonomous Community","","Canarias|Canary Islands|Canárias|Ilhas Canárias|Canarie|Îles Canaries|Illes Canàries|Kanariøyene|Kanarische Inseln"
15,215,"ESP","Spain",15,"La Rioja","ES.LO",NA,"17","Comunidad Autónoma","Autonomous Community","","Rioja"
16,215,"ESP","Spain",16,"País Vasco","ES.PV",NA,"16","Comunidad Autónoma","Autonomous Community","","Basque Country|Baskenland|Basque Autonomous Community|Basque Provinces|CAV|Comunidad Autonoma Vasca"
17,215,"ESP","Spain",17,"Principado de Asturias","ES.AS",NA,"03","Comunidad Autónoma","Autonomous Community","","Astúrias|Asturie|Asturien|Asturies|Astúries|Asturias"
18,215,"ESP","Spain",18,"Región de Murcia","ES.MU",NA,"14","Comunidad Autónoma","Autonomous Community","","Murcia|Região de Múrcia|Regió de Múrcia|Région de Murcie|Region of Murcia"
